,cpi_fah,rdi_adj,home_price,covid1,covid2,grocery_sales,y_fitted,residuals,y_forecast,actual_and_forecast,fitted_and_forecast,grocery_sales_lag1,y_fitted_ar,residuals_ar,y_forecast_ar
2013-12-01,234.318,13019.1,159.281,0,0,48632.0,47358.870645520954,-1273.129354479046,,48632.0,47358.870645520954,48185.0,47858.17477125213,-773.8252287478681,
2014-01-01,234.722,13079.5,159.368,0,0,48839.0,47600.0062374438,-1238.9937625562015,,48839.0,47600.0062374438,48632.0,48214.41601182682,-624.5839881731808,
2014-02-01,235.781,13148.0,159.869,0,0,48860.0,47953.324089257236,-906.6759107427642,,48860.0,47953.324089257236,48839.0,48486.90535539263,-373.0946446073722,
2014-03-01,237.055,13219.9,161.185,0,0,48897.0,48365.274443085415,-531.7255569145855,,48897.0,48365.274443085415,48860.0,48682.42223679918,-214.57776320081757,
2014-04-01,237.942,13270.2,162.964,0,0,49234.0,48677.559051733006,-556.4409482669944,,49234.0,48677.559051733006,48897.0,48842.66986914854,-391.3301308514565,
2014-05-01,239.611,13312.9,164.678,0,0,49510.0,49052.663493481494,-457.3365065185062,,49510.0,49052.663493481494,49234.0,49196.07348720727,-313.9265127927283,
2014-06-01,239.682,13360.4,166.207,0,0,49832.0,49256.06210385503,-575.9378961449693,,49832.0,49256.06210385503,49510.0,49441.3946389775,-390.605361022499,
2014-07-01,240.154,13386.8,167.13099999999997,0,0,50050.0,49420.42125878885,-629.5787412111531,,50050.0,49420.42125878885,49832.0,49693.57656252558,-356.4234374744192,
2014-08-01,240.692,13445.9,167.446,0,0,50236.0,49679.17583075612,-556.8241692438824,,50236.0,49679.17583075612,50050.0,49930.48518063045,-305.5148193695495,
2014-09-01,241.328,13486.3,167.236,0,0,50413.0,49874.38173612297,-538.6182638770333,,50413.0,49874.38173612297,50236.0,50120.56568396947,-292.43431603052886,
2014-10-01,241.62,13550.7,166.90400000000002,0,0,50636.0,50103.54553217708,-532.4544678229213,,50636.0,50103.54553217708,50413.0,50321.73792759063,-314.2620724093722,
2014-11-01,241.912,13624.4,166.65200000000002,0,0,50667.0,50364.67094493227,-302.3290550677266,,50667.0,50364.67094493227,50636.0,50562.90900981805,-104.09099018194684,
2014-12-01,242.893,13719.1,166.454,0,0,50805.0,50772.69395224992,-32.30604775007669,,50805.0,50772.69395224992,50667.0,50762.51533338104,-42.484666618962365,
2015-01-01,242.553,13797.7,166.24200000000002,0,0,50949.0,50978.72739759565,29.727397595648654,,50949.0,50978.72739759565,50805.0,50932.98632198825,-16.01367801174638,
2015-02-01,242.598,13848.0,166.623,0,0,51027.0,51155.23246013361,128.23246013360767,,51027.0,51155.23246013361,50949.0,51092.7152649954,65.7152649954005,
2015-03-01,241.633,13811.3,168.081,0,0,50972.0,50970.150926831986,-1.8490731680140016,,50972.0,50970.150926831986,51027.0,51054.67463533314,82.67463533314003,
2015-04-01,241.106,13842.0,169.965,0,0,50830.0,51062.11086007249,232.11086007249105,,50830.0,51062.11086007249,50972.0,51067.3057654473,237.30576544730138,
2015-05-01,241.107,13865.6,171.84599999999998,0,0,50928.0,51191.3764388269,263.37643882689736,,50928.0,51191.3764388269,50830.0,51047.391524273145,119.39152427314548,
2015-06-01,241.922,13874.1,173.446,0,0,51137.0,51356.98800410736,219.98800410736294,,51137.0,51356.98800410736,50928.0,51175.250726556485,38.25072655648546,
2015-07-01,242.25,13905.7,174.491,0,0,51301.0,51525.026403965065,224.02640396506467,,51301.0,51525.026403965065,51137.0,51366.73869283318,65.73869283318345,
2015-08-01,242.864,13935.8,174.93,0,0,51214.0,51703.45150722155,489.45150722155086,,51214.0,51703.45150722155,51301.0,51537.20640931409,323.20640931408707,
2015-09-01,243.198,13972.2,175.03400000000002,0,0,51114.0,51860.54314990315,746.5431499031474,,51114.0,51860.54314990315,51214.0,51559.295703979515,445.29570397951466,
2015-10-01,243.284,13996.9,175.03799999999998,0,0,50985.0,51949.24118677877,964.2411867787669,,50985.0,51949.24118677877,51114.0,51543.75051865258,558.7505186525814,
2015-11-01,242.606,13993.4,175.128,0,0,51259.0,51863.550139359635,604.5501393596351,,51259.0,51863.550139359635,50985.0,51434.90534466708,175.9053446670805,
2015-12-01,241.88,14060.2,175.1,0,0,51053.0,51993.30933784799,940.3093378479898,,51053.0,51993.30933784799,51259.0,51647.20935901112,594.2093590111181,
